strategy_a,strategy_b,mean_a,mean_b,u_statistic,z,p_raw,p_holm,significant_05
baseline,default,100.0,94.33,3.0,0.667,0.505,1.0,False
baseline,spread,100.0,80.33,0.0,1.886,0.0593,1.0,False
baseline,random,100.0,80.0,0.0,1.855,0.0636,1.0,False
baseline,dependency-aware,100.0,77.67,0.0,1.886,0.0593,1.0,False
baseline,adversarial,100.0,80.33,0.0,1.886,0.0593,1.0,False
baseline,best-fit,100.0,100.0,4.5,0.0,1.0,1.0,False
baseline,colocate,100.0,94.33,3.0,0.667,0.505,1.0,False
default,spread,94.33,80.33,1.0,1.414,0.1573,1.0,False
default,random,94.33,80.0,1.5,1.124,0.2612,1.0,False
default,dependency-aware,94.33,77.67,0.5,1.598,0.1101,1.0,False
default,adversarial,94.33,80.33,1.0,1.348,0.1775,1.0,False
default,best-fit,94.33,100.0,3.0,0.667,0.505,1.0,False
default,colocate,94.33,94.33,4.5,0.0,1.0,1.0,False
spread,random,80.33,80.0,4.0,0.0,1.0,1.0,False
spread,dependency-aware,80.33,77.67,3.0,0.497,0.6193,1.0,False
spread,adversarial,80.33,80.33,4.0,0.0,1.0,1.0,False
spread,best-fit,80.33,100.0,0.0,1.886,0.0593,1.0,False
spread,colocate,80.33,94.33,1.0,1.414,0.1573,1.0,False
random,dependency-aware,80.0,77.67,3.5,0.225,0.8222,1.0,False
random,adversarial,80.0,80.33,4.5,0.0,1.0,1.0,False
random,best-fit,80.0,100.0,0.0,1.855,0.0636,1.0,False
random,colocate,80.0,94.33,1.5,1.124,0.2612,1.0,False
dependency-aware,adversarial,77.67,80.33,4.0,0.0,1.0,1.0,False
dependency-aware,best-fit,77.67,100.0,0.0,1.886,0.0593,1.0,False
dependency-aware,colocate,77.67,94.33,0.5,1.598,0.1101,1.0,False
adversarial,best-fit,80.33,100.0,0.0,1.886,0.0593,1.0,False
adversarial,colocate,80.33,94.33,1.0,1.348,0.1775,1.0,False
best-fit,colocate,100.0,94.33,3.0,0.667,0.505,1.0,False
